year,last_name, first_name,Full_name,pitcher_id,team_name,team_name_abbrev,avg_speed,pitch_type,player_pitch_id,pitch_type_name,pitcher_break_z,pitcher_break_x,Spin Rate,Spin Effiency ,Class
2021,Bergen, Travis,Travis Bergen,664157,Blue Jays,TOR,92.3,FF,664157FF,4-Seamer,16,13.3,2341,98,0
2021,Sceroler, Mac,Mac Sceroler,669135,Orioles,BAL,92.7,FF,669135FF,4-Seamer,13.1,5.7,2487,90.1,0
2021,Beasley, Jeremy,Jeremy Beasley,676886,Blue Jays,TOR,95.1,FF,676886FF,4-Seamer,13,6.4,2500,85.1,0
2021,Kela, Keone,Keone Kela,605309,Padres,SD,94.7,FF,605309FF,4-Seamer,11.3,6.3,2336,91.1,0
2021,Miller, Shelby,Shelby Miller,571946,Pirates,PIT,93.4,FF,571946FF,4-Seamer,12.6,8,2362,95,0
2021,Pearson, Nate,Nate Pearson,663878,Blue Jays,TOR,97.2,FF,663878FF,4-Seamer,11.8,7.3,2162,96.1,0
2021,Santos, Antonio,Antonio Santos,665733,Rockies,COL,95.5,FF,665733FF,4-Seamer,17.2,11.1,2157,98.9,0
2021,Stock, Robert,Robert Stock,476594,Mets,NYM,96.2,FF,476594FF,4-Seamer,16.5,11.4,2033,94.4,0
2021,Adam, Jason,Jason Adam,592094,Cubs,CHC,93.7,FF,592094FF,4-Seamer,14.3,7,2608,81.1,0
2021,Bauer, Trevor,Trevor Bauer,545333,Dodgers,LAD,93.9,FF,545333FF,4-Seamer,11.2,9.9,2783,93.5,0
2021,Bard, Daniel,Daniel Bard,453268,Rockies,COL,97.5,FF,453268FF,4-Seamer,18.5,9.5,2734,74.8,0
2021,Maples, Dillon,Dillon Maples,596027,Cubs,CHC,95.1,FF,596027FF,4-Seamer,19.9,4.3,2660,52.7,0
2021,Sheffield, Jordan,Jordan Sheffield,642068,Rockies,COL,96.4,FF,642068FF,4-Seamer,12.3,7.1,2619,83,0
2021,Nelson, Jimmy,Jimmy Nelson,519076,Dodgers,LAD,93.8,FF,519076FF,4-Seamer,13.7,2.7,2613,96.5,0
2021,Stratton, Chris,Chris Stratton,608717,Pirates,PIT,92.9,FF,608717FF,4-Seamer,15.8,4.6,2610,71.3,0
2021,Lindblom, Josh,Josh Lindblom,458676,Brewers,MIL,90.3,FF,458676FF,4-Seamer,15.8,5.8,2593,83.5,0
2021,Musgrove, Joe,Joe Musgrove,605397,Padres,SD,93.2,FF,605397FF,4-Seamer,18.8,5.3,2592,63.1,0
2021,Sims, Lucas,Lucas Sims,608371,Reds,CIN,95.1,FF,608371FF,4-Seamer,12.2,8.1,2584,89.9,0
2021,Scott, Tanner,Tanner Scott,656945,Orioles,BAL,96.8,FF,656945FF,4-Seamer,13.7,4.4,2582,75.5,0
2021,Doval, Camilo,Camilo Doval,666808,Giants,SF,98.2,FF,666808FF,4-Seamer,15.2,4.5,2578,65.1,0
2021,Kopech, Michael,Michael Kopech,656629,White Sox,CWS,97.1,FF,656629FF,4-Seamer,10.7,9.8,2575,96,0
